"rent_serial_id","homeless_region","homeless_male_adults","homeless_female_adults","immigrants_nationality","immigrants_gender","immigration_year","rent_location","rent_cost"
75,"Midlands","48","33","EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland)","Both sexes",2021,"Killiney, Dublin",2353.24
76,"Mid-West","190","101","EU15 to EU27 (accession countries joined post 2004)","Both sexes",2021,"Kinsealy, Dublin",1661.32
77,"North-East","77","25","Other nationalities(17)","Both sexes",2021,"Lucan, Dublin",1679.13
78,"North-West","49","25","All nationalities","Both sexes",2021,"Lusk, Dublin",1503.39
79,"South-East","145","50","Irish","Male",2021,"Malahide, Dublin",2056.03
80,"South-West","348","184","UK (1)","Male",2021,"Monkstown, Dublin",1865.44
81,"West","145","107","EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland)","Male",2021,"Mount Merrion, Dublin",2662.67
82,"Dublin","2762","1535","EU15 to EU27 (accession countries joined post 2004)","Male",2021,"Portmarnock, Dublin",1846.2
83,"Mid-East","192","121","Other nationalities(17)","Male",2021,"Rathcoole, Dublin",1545.89
84,"Midlands","43","36","All nationalities","Male",2021,"Rush, Dublin",1424.33
85,"Mid-West","193","96","Irish","Female",2021,"Saggart, Dublin",1608.13
86,"North-East","73","27","UK (1)","Female",2021,"Sandycove, Dublin",2183.49
87,"North-West","44","23","EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland)","Female",2021,"Shankill, Dublin",1782.34
88,"South-East","149","48","EU15 to EU27 (accession countries joined post 2004)","Female",2021,"Skerries, Dublin",1497.79
89,"South-West","338","163","Other nationalities(17)","Female",2021,"Stillorgan, Dublin",1984.2
90,"West","151","101","All nationalities","Female",2021,"Swords, Dublin",1548.06
91,"Dublin","2749","1494","Irish","Both sexes",2022,"Dublin 1",1650.77
92,"Mid-East","208","115","UK (1)","Both sexes",2022,"I.F.S.C., Dublin 1",1852.13
93,"Midlands","45","34","EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland)","Both sexes",2022,"Parnell Street, Dublin 1",1713.8
94,"Mid-West","187","100","EU15 to EU27 (accession countries joined post 2004)","Both sexes",2022,"Spencer Dock, Dublin 1",2130.29
95,"North-East","71","24","Other nationalities(17)","Both sexes",2022,"Summerhill, Dublin 1",1616.96
96,"North-West","49","26","All nationalities","Both sexes",2022,"Dublin 2",2166.85
97,"South-East","126","48","Irish","Male",2022,"Charlemont Street, Dublin 2",2064.17
98,"South-West","344","160","UK (1)","Male",2022,"Grand Canal Dock, Dublin 2",2456.44
99,"West","146","106","EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland)","Male",2022,"Grand Canal Square, Dublin 2",2871.54
100,"Dublin","2681","1477","EU15 to EU27 (accession countries joined post 2004)","Male",2022,"Hanover Quay, Dublin 2",2496.47
101,"Mid-East","198","112","Other nationalities(17)","Male",2022,"Pearse Street, Dublin 2",1775.92
102,"Midlands","38","30","All nationalities","Male",2022,"Tara Street, Dublin 2",1744.19
103,"Mid-West","182","92","Irish","Female",2022,"Temple Bar, Dublin 2",1822.34
104,"North-East","68","21","UK (1)","Female",2022,"Townsend Street, Dublin 2",1807.12
105,"North-West","51","21","EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland)","Female",2022,"Dublin 3",1684.15
106,"South-East","124","45","EU15 to EU27 (accession countries joined post 2004)","Female",2022,"Clonliffe, Dublin 3",1540.35
107,"South-West","340","145","Other nationalities(17)","Female",2022,"Clontarf, Dublin 3",1729.14
108,"West","146","102","All nationalities","Female",2022,"Drumcondra, Dublin 3",1592.94
