rent_id	year	number_of_bedrooms	property_type	location	cost
64300ab6c1f531f75d1b5759	2020	All bedrooms	All property types	Bantry, Cork	692.73
64300ab6c1f531f75d1b575a	2020	All bedrooms	All property types	Bishopstown, Cork	1364.49
64300ab6c1f531f75d1b575b	2020	All bedrooms	All property types	Blackpool, Cork	1054.96
64300ab6c1f531f75d1b575c	2020	All bedrooms	All property types	Blackrock, Cork	1347.67
64300ab6c1f531f75d1b575d	2020	All bedrooms	All property types	Blarney, Cork	1161.94
64300ab6c1f531f75d1b575e	2020	All bedrooms	All property types	Carrigaline, Cork	1188.14
64300ab6c1f531f75d1b575f	2020	All bedrooms	All property types	Carrigtwohill, Cork	1110.43
64300ab6c1f531f75d1b5760	2020	All bedrooms	All property types	Castlemartyr, Cork	881.71
64300ab6c1f531f75d1b5761	2020	All bedrooms	All property types	Charleville, Cork	800.75
64300ab6c1f531f75d1b5762	2020	All bedrooms	All property types	Clonakilty, Cork	852.66
64300ab6c1f531f75d1b5763	2020	All bedrooms	All property types	Cloyne, Cork	1002.08
64300ab6c1f531f75d1b5764	2020	All bedrooms	All property types	Cobh, Cork	963.51
64300ab6c1f531f75d1b5765	2020	All bedrooms	All property types	Crosshaven, Cork	1085.96
64300ab6c1f531f75d1b5766	2020	All bedrooms	All property types	Douglas, Cork	1294.26
64300ab6c1f531f75d1b5767	2020	All bedrooms	All property types	Dunmanway, Cork	781.78
64300ab6c1f531f75d1b5768	2020	All bedrooms	All property types	Fermoy, Cork	875.68
64300ab6c1f531f75d1b5769	2020	All bedrooms	All property types	Glanmire, Cork	1206.62
64300ab6c1f531f75d1b576a	2020	All bedrooms	All property types	Kanturk, Cork	859.27
64300ab6c1f531f75d1b576b	2020	All bedrooms	All property types	Kinsale, Cork	1277.9
64300ab6c1f531f75d1b576c	2020	All bedrooms	All property types	Macroom, Cork	834.37
64300ab6c1f531f75d1b576d	2020	All bedrooms	All property types	Mallow, Cork	931.63
64300ab6c1f531f75d1b576e	2020	All bedrooms	All property types	Midleton, Cork	1059.11
64300ab6c1f531f75d1b576f	2020	All bedrooms	All property types	Millstreet, Cork	753.29
64300ab6c1f531f75d1b5770	2020	All bedrooms	All property types	Mitchelstown, Cork	772.46
64300ab6c1f531f75d1b5771	2020	All bedrooms	All property types	Passage West, Cork	1119.55
64300ab6c1f531f75d1b5772	2020	All bedrooms	All property types	Rathcormac, Cork	930.74
64300ab6c1f531f75d1b5773	2020	All bedrooms	All property types	Ringaskiddy, Cork	1185.18
64300ab6c1f531f75d1b5774	2020	All bedrooms	All property types	Rochestown, Cork	1389.22
64300ab6c1f531f75d1b5775	2020	All bedrooms	All property types	Skibbereen, Cork	707.68
64300ab6c1f531f75d1b5776	2020	All bedrooms	All property types	Whitegate, Cork	1038.18
64300ab6c1f531f75d1b5777	2020	All bedrooms	All property types	Wilton, Cork	1191.82
64300ab6c1f531f75d1b5778	2020	All bedrooms	All property types	Youghal, Cork	836.74
64300ab6c1f531f75d1b5779	2020	All bedrooms	All property types	Donegal	592.99
64300ab6c1f531f75d1b577a	2020	All bedrooms	All property types	Donegal Town	596.52
64300ab6c1f531f75d1b577b	2020	All bedrooms	All property types	Ballybofey, Donegal	561.34
64300ab6c1f531f75d1b577c	2020	All bedrooms	All property types	Buncrana, Donegal	560.99
64300ab6c1f531f75d1b577d	2020	All bedrooms	All property types	Bundoran, Donegal	528.23
64300ab6c1f531f75d1b577e	2020	All bedrooms	All property types	Carndonagh, Donegal	475.3
64300ab6c1f531f75d1b577f	2020	All bedrooms	All property types	Letterkenny, Donegal	651.61
64300ab6c1f531f75d1b5780	2020	All bedrooms	All property types	Lifford, Donegal	513.37
64300ab6c1f531f75d1b5781	2020	All bedrooms	All property types	Stranorlar, Donegal	527.13
64300ab6c1f531f75d1b5782	2020	All bedrooms	All property types	Dublin	1743.14
64300ab6c1f531f75d1b5783	2020	All bedrooms	All property types	Balbriggan, Dublin	1371.9
64300ab6c1f531f75d1b5784	2020	All bedrooms	All property types	Blackrock, Dublin	2129.21
64300ab6c1f531f75d1b5785	2020	All bedrooms	All property types	Booterstown, Dublin	2201.52
64300ab6c1f531f75d1b5786	2020	All bedrooms	All property types	Dalkey, Dublin	2593.75
64300ab6c1f531f75d1b5787	2020	All bedrooms	All property types	Donabate, Dublin	1605.41
64300ab6c1f531f75d1b5788	2020	All bedrooms	All property types	Dun Laoghaire, Dublin	2003.46
64300ab6c1f531f75d1b5789	2020	All bedrooms	All property types	Glenageary, Dublin	2461.1
64300ab6c1f531f75d1b578a	2020	All bedrooms	All property types	Howth, Dublin	1890.49
64300ab6c1f531f75d1b578b	2020	All bedrooms	All property types	Killiney, Dublin	2353.24
64300ab6c1f531f75d1b578c	2020	All bedrooms	All property types	Kinsealy, Dublin	1661.32
64300ab6c1f531f75d1b578d	2020	All bedrooms	All property types	Lucan, Dublin	1679.13
64300ab6c1f531f75d1b578e	2020	All bedrooms	All property types	Lusk, Dublin	1503.39
64300ab6c1f531f75d1b578f	2020	All bedrooms	All property types	Malahide, Dublin	2056.03
64300ab6c1f531f75d1b5790	2020	All bedrooms	All property types	Monkstown, Dublin	1865.44
64300ab6c1f531f75d1b5791	2020	All bedrooms	All property types	Mount Merrion, Dublin	2662.67
64300ab6c1f531f75d1b5792	2020	All bedrooms	All property types	Portmarnock, Dublin	1846.2
64300ab6c1f531f75d1b5793	2020	All bedrooms	All property types	Rathcoole, Dublin	1545.89
64300ab6c1f531f75d1b5794	2020	All bedrooms	All property types	Rush, Dublin	1424.33
64300ab6c1f531f75d1b5795	2020	All bedrooms	All property types	Saggart, Dublin	1608.13
64300ab6c1f531f75d1b5796	2020	All bedrooms	All property types	Sandycove, Dublin	2183.49
64300ab6c1f531f75d1b5797	2020	All bedrooms	All property types	Shankill, Dublin	1782.34
64300ab6c1f531f75d1b5798	2020	All bedrooms	All property types	Skerries, Dublin	1497.79
64300ab6c1f531f75d1b5799	2020	All bedrooms	All property types	Stillorgan, Dublin	1984.2
64300ab6c1f531f75d1b579a	2020	All bedrooms	All property types	Swords, Dublin	1548.06
64300ab6c1f531f75d1b579b	2020	All bedrooms	All property types	Dublin 1	1650.77
64300ab6c1f531f75d1b579c	2020	All bedrooms	All property types	I.F.S.C., Dublin 1	1852.13
64300ab6c1f531f75d1b579d	2020	All bedrooms	All property types	Parnell Street, Dublin 1	1713.8
64300ab6c1f531f75d1b579e	2020	All bedrooms	All property types	Spencer Dock, Dublin 1	2130.29
64300ab6c1f531f75d1b579f	2020	All bedrooms	All property types	Summerhill, Dublin 1	1616.96
64300ab6c1f531f75d1b57a0	2020	All bedrooms	All property types	Dublin 2	2166.85
64300ab6c1f531f75d1b57a1	2020	All bedrooms	All property types	Charlemont Street, Dublin 2	2064.17
64300ab6c1f531f75d1b57a2	2020	All bedrooms	All property types	Grand Canal Dock, Dublin 2	2456.44
64300ab6c1f531f75d1b57a3	2020	All bedrooms	All property types	Grand Canal Square, Dublin 2	2871.54
64300ab6c1f531f75d1b57a4	2020	All bedrooms	All property types	Hanover Quay, Dublin 2	2496.47
64300ab6c1f531f75d1b57a5	2020	All bedrooms	All property types	Pearse Street, Dublin 2	1775.92
64300ab6c1f531f75d1b57a6	2020	All bedrooms	All property types	Tara Street, Dublin 2	1744.19
64300ab6c1f531f75d1b57a7	2020	All bedrooms	All property types	Temple Bar, Dublin 2	1822.34
64300ab6c1f531f75d1b57a8	2020	All bedrooms	All property types	Townsend Street, Dublin 2	1807.12
64300ab6c1f531f75d1b57a9	2020	All bedrooms	All property types	Dublin 3	1684.15
64300ab6c1f531f75d1b57aa	2020	All bedrooms	All property types	Clonliffe, Dublin 3	1540.35
64300ab6c1f531f75d1b57ab	2020	All bedrooms	All property types	Clontarf, Dublin 3	1729.14
64300ab6c1f531f75d1b57ac	2020	All bedrooms	All property types	Drumcondra, Dublin 3	1592.94
64300ab6c1f531f75d1b57ad	2020	All bedrooms	All property types	East Wall, Dublin 3	1780.77
64300ab6c1f531f75d1b57ae	2020	All bedrooms	All property types	Fairview, Dublin 3	1460.46
64300ab6c1f531f75d1b57af	2020	All bedrooms	All property types	Marino, Dublin 3	1753.52
64300ab6c1f531f75d1b57b0	2020	All bedrooms	All property types	North Strand, Dublin 3	1699.32
64300ab6c1f531f75d1b57b1	2020	All bedrooms	All property types	Dublin 4	2224.72
64300ab6c1f531f75d1b57b2	2020	All bedrooms	All property types	Ballsbridge, Dublin 4	2422.08
64300ab6c1f531f75d1b57b3	2020	All bedrooms	All property types	Donnybrook, Dublin 4	2083.17
64300ab6c1f531f75d1b57b4	2020	All bedrooms	All property types	Irishtown, Dublin 4	1995.41
64300ab6c1f531f75d1b57b5	2020	All bedrooms	All property types	Merrion, Dublin 4	1951.59
64300ab6c1f531f75d1b57b6	2020	All bedrooms	All property types	Pembroke, Dublin 4	2145.74
64300ab6c1f531f75d1b57b7	2020	All bedrooms	All property types	Ringsend, Dublin 4	1951.08
64300ab6c1f531f75d1b57b8	2020	All bedrooms	All property types	Sandymount, Dublin 4	2286.06
64300ab6c1f531f75d1b57b9	2020	All bedrooms	All property types	Dublin 5	1682.26
64300ab6c1f531f75d1b57ba	2020	All bedrooms	All property types	Artane, Dublin 5	1623.72
64300ab6c1f531f75d1b57bb	2020	All bedrooms	All property types	Killester, Dublin 5	1808.88
64300ab6c1f531f75d1b57bc	2020	All bedrooms	All property types	Raheny, Dublin 5	1744.85
64300ab6c1f531f75d1b57bd	2020	All bedrooms	All property types	Dublin 6	1633.02
64300ab6c1f531f75d1b57be	2020	All bedrooms	All property types	Dartry, Dublin 6	2334.87
64300ab6c1f531f75d1b57bf	2020	All bedrooms	All property types	Harolds Cross, Dublin 6	1671.0
64300ab6c1f531f75d1b57c0	2020	All bedrooms	All property types	Milltown, Dublin 6	2046.48
64300ab6c1f531f75d1b57c1	2020	All bedrooms	All property types	Ranelagh, Dublin 6	1787.34
64300ab6c1f531f75d1b57c2	2020	All bedrooms	All property types	Rathgar, Dublin 6	1550.09
64300ab6c1f531f75d1b57c3	2020	All bedrooms	All property types	Rathmines, Dublin 6	1414.82
64300ab6c1f531f75d1b57c4	2020	All bedrooms	All property types	Terenure, Dublin 6	1868.17
64300ab6c1f531f75d1b57c5	2020	All bedrooms	All property types	Dublin 6W	1851.25
64300ab6c1f531f75d1b57c6	2020	All bedrooms	All property types	Harolds Cross, Dublin 6W	1685.72
64300ab6c1f531f75d1b57c7	2020	All bedrooms	All property types	Templeogue, Dublin 6W	2037.34
64300ab6c1f531f75d1b57c8	2020	All bedrooms	All property types	Terenure, Dublin 6W	1898.83
64300ab6c1f531f75d1b57c9	2020	All bedrooms	All property types	Dublin 7	1498.06
64300ab6c1f531f75d1b57ca	2020	All bedrooms	All property types	Arbour Hill, Dublin 7	1783.7
64300ab6c1f531f75d1b57cb	2020	All bedrooms	All property types	Cabra, Dublin 7	1378.56
64300ab6c1f531f75d1b57cc	2020	All bedrooms	All property types	Navan Road, Dublin 7	1582.37
64300ab6c1f531f75d1b57cd	2020	All bedrooms	All property types	North Circular Road, Dublin 7	1543.42
64300ab6c1f531f75d1b57ce	2020	All bedrooms	All property types	Phibsboro, Dublin 7	1176.48
64300ab6c1f531f75d1b57cf	2020	All bedrooms	All property types	Smithfield, Dublin 7	1750.46
64300ab6c1f531f75d1b57d0	2020	All bedrooms	All property types	Stoneybatter, Dublin 7	1591.14
64300ab6c1f531f75d1b57d1	2020	All bedrooms	All property types	Dublin 8	1640.25
64300ab6c1f531f75d1b57d2	2020	All bedrooms	All property types	Christchurch, Dublin 8	1625.7
64300ab6c1f531f75d1b57d3	2020	All bedrooms	All property types	Cork Street, Dublin 8	1620.66
64300ab6c1f531f75d1b57d4	2020	All bedrooms	All property types	Inchicore, Dublin 8	1543.35
64300ab6c1f531f75d1b57d5	2020	All bedrooms	All property types	Islandbridge, Dublin 8	1875.85
64300ab6c1f531f75d1b57d6	2020	All bedrooms	All property types	Kilmainham , Dublin 8	1591.08
64300ab6c1f531f75d1b57d7	2020	All bedrooms	All property types	Portobello, Dublin 8	1474.52
64300ab6c1f531f75d1b57d8	2020	All bedrooms	All property types	Rialto, Dublin 8	1548.53
64300ab6c1f531f75d1b57d9	2020	All bedrooms	All property types	South Circular Road, Dublin 8	1575.35
64300ab6c1f531f75d1b57da	2020	All bedrooms	All property types	Dublin 9	1631.08
64300ab6c1f531f75d1b57db	2020	All bedrooms	All property types	Ballymun, Dublin 9	1514.39
64300ab6c1f531f75d1b57dc	2020	All bedrooms	All property types	Beaumont, Dublin 9	1713.87
64300ab6c1f531f75d1b57dd	2020	All bedrooms	All property types	Drumcondra, Dublin 9	1575.94
64300ab6c1f531f75d1b57de	2020	All bedrooms	All property types	Glasnevin, Dublin 9	1599.57
64300ab6c1f531f75d1b57df	2020	All bedrooms	All property types	Santry, Dublin 9	1764.42
64300ab6c1f531f75d1b57e0	2020	All bedrooms	All property types	Whitehall, Dublin 9	1680.86
64300ab6c1f531f75d1b57e1	2020	All bedrooms	All property types	Dublin 10	1371.56
64300ab6c1f531f75d1b57e2	2020	All bedrooms	All property types	Ballyfermot, Dublin 10	1411.98
64300ab6c1f531f75d1b57e3	2020	All bedrooms	All property types	Cherry Orchard, Dublin 10	1412.57
64300ab6c1f531f75d1b57e4	2020	All bedrooms	All property types	Dublin 11	1483.67
64300ab6c1f531f75d1b57e5	2020	All bedrooms	All property types	Ballymun, Dublin 11	1470.42
64300ab6c1f531f75d1b57e6	2020	All bedrooms	All property types	Finglas, Dublin 11	1461.92
64300ab6c1f531f75d1b57e7	2020	All bedrooms	All property types	Glasnevin, Dublin 11	1651.82
64300ab6c1f531f75d1b57e8	2020	All bedrooms	All property types	Meakstown, Dublin 11	1529.61
64300ab6c1f531f75d1b57e9	2020	All bedrooms	All property types	Dublin 12	1679.84
64300ab6c1f531f75d1b57ea	2020	All bedrooms	All property types	Crumlin, Dublin 12	1614.53
64300ab6c1f531f75d1b57eb	2020	All bedrooms	All property types	Drimnagh, Dublin 12	1709.19
64300ab6c1f531f75d1b57ec	2020	All bedrooms	All property types	Kimmage, Dublin 12	1702.56
64300ab6c1f531f75d1b57ed	2020	All bedrooms	All property types	Walkinstown, Dublin 12	1559.43
64300ab6c1f531f75d1b57ee	2020	All bedrooms	All property types	Dublin 13	1752.02
64300ab6c1f531f75d1b57ef	2020	All bedrooms	All property types	Baldoyle, Dublin 13	1653.05
64300ab6c1f531f75d1b57f0	2020	All bedrooms	All property types	Balgriffin, Dublin 13	1949.96
64300ab6c1f531f75d1b57f1	2020	All bedrooms	All property types	Clongriffin, Dublin 13	1683.02
64300ab6c1f531f75d1b57f2	2020	All bedrooms	All property types	Donaghmede, Dublin 13	1527.48
64300ab6c1f531f75d1b57f3	2020	All bedrooms	All property types	Sutton, Dublin 13	2040.97
64300ab6c1f531f75d1b57f4	2020	All bedrooms	All property types	Dublin 14	2128.3
64300ab6c1f531f75d1b57f5	2020	All bedrooms	All property types	Churchtown, Dublin 14	2270.39
64300ab6c1f531f75d1b57f6	2020	All bedrooms	All property types	Clonskeagh, Dublin 14	2250.57
64300ab6c1f531f75d1b57f7	2020	All bedrooms	All property types	Dundrum, Dublin 14	1985.03
64300ab6c1f531f75d1b57f8	2020	All bedrooms	All property types	Goatstown, Dublin 14	2454.1
64300ab6c1f531f75d1b57f9	2020	All bedrooms	All property types	Rathfarnham, Dublin 14	2008.73
64300ab6c1f531f75d1b57fa	2020	All bedrooms	All property types	Dublin 15	1598.5
64300ab6c1f531f75d1b57fb	2020	All bedrooms	All property types	Ashtown, Dublin 15	1714.8
64300ab6c1f531f75d1b57fc	2020	All bedrooms	All property types	Blanchardstown, Dublin 15	1540.36
64300ab6c1f531f75d1b57fd	2020	All bedrooms	All property types	Carpenterstown, Dublin 15	1629.6
64300ab6c1f531f75d1b57fe	2020	All bedrooms	All property types	Castleknock, Dublin 15	1803.65
64300ab6c1f531f75d1b57ff	2020	All bedrooms	All property types	Clonee, Dublin 15	1572.31
64300ab6c1f531f75d1b5800	2020	All bedrooms	All property types	Clonsilla, Dublin 15	1632.63
64300ab6c1f531f75d1b5801	2020	All bedrooms	All property types	Coolmine, Dublin 15	1553.13
64300ab6c1f531f75d1b5802	2020	All bedrooms	All property types	Mulhuddart, Dublin 15	1408.64
64300ab6c1f531f75d1b5803	2020	All bedrooms	All property types	Ongar, Dublin 15	1460.08
64300ab6c1f531f75d1b5804	2020	All bedrooms	All property types	Porterstown, Dublin 15	1541.29
64300ab6c1f531f75d1b5805	2020	All bedrooms	All property types	Royal Canal Park, Dublin 15	1522.04
64300ab6c1f531f75d1b5806	2020	All bedrooms	All property types	Tyrrelstown, Dublin 15	1627.7
64300ab6c1f531f75d1b5807	2020	All bedrooms	All property types	Dublin 16	1951.77
64300ab6c1f531f75d1b5808	2020	All bedrooms	All property types	Ballinteer, Dublin 16	1915.18
64300ab6c1f531f75d1b5809	2020	All bedrooms	All property types	Dundrum, Dublin 16	1933.98
64300ab6c1f531f75d1b580a	2020	All bedrooms	All property types	Knocklyon, Dublin 16	1827.11
64300ab6c1f531f75d1b580b	2020	All bedrooms	All property types	Rathfarnham, Dublin 16	2019.27
64300ab6c1f531f75d1b580c	2020	All bedrooms	All property types	Sandyford, Dublin 16	1887.36
64300ab6c1f531f75d1b580d	2020	All bedrooms	All property types	Dublin 17	1454.72
64300ab6c1f531f75d1b580e	2020	All bedrooms	All property types	Malahide Road, Dublin 17	1618.59
64300ab6c1f531f75d1b580f	2020	All bedrooms	All property types	Dublin 18	1941.74
64300ab6c1f531f75d1b5810	2020	All bedrooms	All property types	Cabinteely, Dublin 18	1887.77
64300ab6c1f531f75d1b5811	2020	All bedrooms	All property types	Carrickmines, Dublin 18	1997.34
64300ab6c1f531f75d1b5812	2020	All bedrooms	All property types	Foxrock, Dublin 18	2699.0
64300ab6c1f531f75d1b5813	2020	All bedrooms	All property types	Leopardstown, Dublin 18	2039.51
64300ab6c1f531f75d1b5814	2020	All bedrooms	All property types	Sandyford, Dublin 18	1844.69
64300ab6c1f531f75d1b5815	2020	All bedrooms	All property types	Stepaside, Dublin 18	1747.16
64300ab6c1f531f75d1b5816	2020	All bedrooms	All property types	Dublin 20	1434.22
64300ab6c1f531f75d1b5817	2020	All bedrooms	All property types	Chapelizod, Dublin 20	1462.59
64300ab6c1f531f75d1b5818	2020	All bedrooms	All property types	Palmerstown, Dublin 20	1588.66
64300ab6c1f531f75d1b5819	2020	All bedrooms	All property types	Clondalkin, Dublin 22	1492.16
64300ab6c1f531f75d1b581a	2020	All bedrooms	All property types	Dublin 24	1469.96
64300ab6c1f531f75d1b581b	2020	All bedrooms	All property types	Ballycullen, Dublin 24	1637.28
64300ab6c1f531f75d1b581c	2020	All bedrooms	All property types	Citywest, Dublin 24	1717.97
64300ab6c1f531f75d1b581d	2020	All bedrooms	All property types	Firhouse, Dublin 24	1754.25
64300ab6c1f531f75d1b581e	2020	All bedrooms	All property types	Tallaght, Dublin 24	1471.21
64300ab6c1f531f75d1b581f	2020	All bedrooms	All property types	Galway	1138.12
64300ab6c1f531f75d1b5820	2020	All bedrooms	All property types	Galway City	1292.42
64300ab6c1f531f75d1b5821	2020	All bedrooms	All property types	Athenry, Galway	992.42
64300ab6c1f531f75d1b5822	2020	All bedrooms	All property types	Ballinasloe, Galway	743.86
64300ab6c1f531f75d1b5823	2020	All bedrooms	All property types	Ballybane, Galway	1140.4
64300ab6c1f531f75d1b5824	2020	All bedrooms	All property types	Ballybrit, Galway	1218.26
64300ab6c1f531f75d1b5825	2020	All bedrooms	All property types	Barna, Galway	1367.02
64300ab6c1f531f75d1b5826	2020	All bedrooms	All property types	Bohermore, Galway	1263.12
64300ab6c1f531f75d1b5827	2020	All bedrooms	All property types	Claregalway, Galway	1085.81
64300ab6c1f531f75d1b5828	2020	All bedrooms	All property types	Clifden, Galway	690.07
64300ab6c1f531f75d1b5829	2020	All bedrooms	All property types	Doughiska, Galway	1111.41
64300ab6c1f531f75d1b582a	2020	All bedrooms	All property types	Gort, Galway	830.98
64300ab6c1f531f75d1b582b	2020	All bedrooms	All property types	Headford, Galway	1115.4
64300ab6c1f531f75d1b582c	2020	All bedrooms	All property types	Knocknacarra, Galway	1184.87
64300ab6c1f531f75d1b582d	2020	All bedrooms	All property types	Loughrea, Galway	886.72
64300ab6c1f531f75d1b582e	2020	All bedrooms	All property types	Moycullen, Galway	1093.49
64300ab6c1f531f75d1b582f	2020	All bedrooms	All property types	Newcastle, Galway	1341.1
64300ab6c1f531f75d1b5830	2020	All bedrooms	All property types	Oranmore, Galway	1105.47
64300ab6c1f531f75d1b5831	2020	All bedrooms	All property types	Oughterard, Galway	903.6
64300ab6c1f531f75d1b5832	2020	All bedrooms	All property types	Portumna, Galway	671.52
64300ab6c1f531f75d1b5833	2020	All bedrooms	All property types	Rahoon, Galway	1192.39
64300ab6c1f531f75d1b5834	2020	All bedrooms	All property types	Renmore, Galway	1250.67
64300ab6c1f531f75d1b5835	2020	All bedrooms	All property types	Roscam, Galway	1302.11
64300ab6c1f531f75d1b5836	2020	All bedrooms	All property types	Salthill, Galway	1254.23
64300ab6c1f531f75d1b5837	2020	All bedrooms	All property types	Tuam, Galway	885.19
64300ab6c1f531f75d1b5838	2020	All bedrooms	All property types	Wellpark, Galway	1214.34
64300ab6c1f531f75d1b5839	2020	All bedrooms	All property types	Kerry	776.41
64300ab6c1f531f75d1b583a	2020	All bedrooms	All property types	Castleisland, Kerry	648.83
64300ab6c1f531f75d1b583b	2020	All bedrooms	All property types	Dingle, Kerry	695.41
64300ab6c1f531f75d1b583c	2020	All bedrooms	All property types	Kenmare, Kerry	767.3
64300ab6c1f531f75d1b583d	2020	All bedrooms	All property types	Killarney, Kerry	945.08
64300ab6c1f531f75d1b583e	2020	All bedrooms	All property types	Killorglin, Kerry	730.1
64300ab6c1f531f75d1b583f	2020	All bedrooms	All property types	Listowel, Kerry	636.65
64300ab6c1f531f75d1b5840	2020	All bedrooms	All property types	Tralee, Kerry	758.89
64300ab6c1f531f75d1b5841	2020	All bedrooms	All property types	Kildare	1298.15
64300ab6c1f531f75d1b5842	2020	All bedrooms	All property types	Kildare Town	1082.96
64300ab6c1f531f75d1b5843	2020	All bedrooms	All property types	Athy, Kildare	961.06
64300ab6c1f531f75d1b5844	2020	All bedrooms	All property types	Castledermot, Kildare	1002.45
64300ab6c1f531f75d1b5845	2020	All bedrooms	All property types	Celbridge, Kildare	1389.54
64300ab6c1f531f75d1b5846	2020	All bedrooms	All property types	Clane, Kildare	1263.29
64300ab6c1f531f75d1b5847	2020	All bedrooms	All property types	Kilcock, Kildare	1232.92
64300ab6c1f531f75d1b5848	2020	All bedrooms	All property types	Kilcullen, Kildare	1089.35
64300ab6c1f531f75d1b5849	2020	All bedrooms	All property types	Kill, Kildare	1383.71
64300ab6c1f531f75d1b584a	2020	All bedrooms	All property types	Leixlip, Kildare	1453.22
64300ab6c1f531f75d1b584b	2020	All bedrooms	All property types	Maynooth, Kildare	1598.34
64300ab6c1f531f75d1b584c	2020	All bedrooms	All property types	Monasterevin, Kildare	998.51
64300ab6c1f531f75d1b584d	2020	All bedrooms	All property types	Naas, Kildare	1382.77
64300ab6c1f531f75d1b584e	2020	All bedrooms	All property types	Newbridge, Kildare	1150.92
64300ab6c1f531f75d1b584f	2020	All bedrooms	All property types	Rathangan, Kildare	1057.49
64300ab6c1f531f75d1b5850	2020	All bedrooms	All property types	Sallins, Kildare	1292.9
64300ab6c1f531f75d1b5851	2020	All bedrooms	All property types	Kilkenny	868.43
64300ab6c1f531f75d1b5852	2020	All bedrooms	All property types	Kilkenny City	997.76
64300ab6c1f531f75d1b5853	2020	All bedrooms	All property types	Callan, Kilkenny	845.52
64300ab6c1f531f75d1b5854	2020	All bedrooms	All property types	Castlecomer, Kilkenny	913.21
64300ab6c1f531f75d1b5855	2020	All bedrooms	All property types	Freshford, Kilkenny	783.81
64300ab6c1f531f75d1b5856	2020	All bedrooms	All property types	Thomastown, Kilkenny	845.87
64300ab6c1f531f75d1b5857	2020	All bedrooms	All property types	Laois	886.1
64300ab6c1f531f75d1b5858	2020	All bedrooms	All property types	Mountmellick, Laois	794.22
64300ab6c1f531f75d1b5859	2020	All bedrooms	All property types	Mountrath, Laois	799.88
64300ab6c1f531f75d1b585a	2020	All bedrooms	All property types	Portarlington, Laois	834.98
64300ab6c1f531f75d1b585b	2020	All bedrooms	All property types	Portlaoise, Laois	954.39
64300ab6c1f531f75d1b585c	2020	All bedrooms	All property types	Leitrim	582.61
64300ab6c1f531f75d1b585d	2020	All bedrooms	All property types	Carrick-On-Shannon, Leitrim	621.01
64300ab6c1f531f75d1b585e	2020	All bedrooms	All property types	Manorhamilton, Leitrim	518.32
64300ab6c1f531f75d1b585f	2020	All bedrooms	All property types	Limerick	1039.42
64300ab6c1f531f75d1b5860	2020	All bedrooms	All property types	Limerick City	1104.23
64300ab6c1f531f75d1b5861	2020	All bedrooms	All property types	Abbeyfeale, Limerick	569.56
64300ab6c1f531f75d1b5862	2020	All bedrooms	All property types	Annacotty, Limerick	1231.41
64300ab6c1f531f75d1b5863	2020	All bedrooms	All property types	Castleconnell, Limerick	1103.06
64300ab6c1f531f75d1b5864	2020	All bedrooms	All property types	Castletroy, Limerick	1304.22
64300ab6c1f531f75d1b5865	2020	All bedrooms	All property types	Corbally, Limerick	1092.94
64300ab6c1f531f75d1b5866	2020	All bedrooms	All property types	Dock Road, Limerick	906.65
64300ab6c1f531f75d1b5867	2020	All bedrooms	All property types	Dooradoyle, Limerick	1123.46
